브랜드명,지점명,업체유형,도로명주소,위도,경도,상가업소번호,ID,연락처,주차시설,평점,판매자ID,판매상품목록
스타벅스,세종새롬점,프렌차이즈,"세종특별자치시 새롬중앙로 64, (새롬동)",36.4866365695244,127.251003809406,12663287,,,,,,
이디야,세종시아름동점,프렌차이즈,"세종특별자치시 보듬3로 91, (아름동)",36.511348009230105,127.249571213302,14525234,,,,,,
탐앤탐스,세종몰리브점,프렌차이즈,"세종특별자치시 도움1로 108, (종촌동)",36.5026751069501,127.247634423628,14525215,,,,,,
GS25,침산원룸점,편의점,"세종특별자치시 조치원읍 문화5길 1, (침산리)",36.6005796218557,127.289727739029,14525494,,,,,,
