브랜드명,상호명,지점명,상권업종소분류명,도로명주소,경도,위도
GS25,GS25,제주함덕점,편의점,"제주특별자치도 제주시 조천읍 함덕13길 2, (함덕리)",126.66789277048599,33.541496223101895
GS25,GS25,성산고성점,편의점,"제주특별자치도 서귀포시 성산읍 고성오조로 73, (고성리)",126.914463460987,33.450215325142395
GS25,GS25,노형한빛점,편의점,"제주특별자치도 제주시 원노형남1길 8, (노형동)",126.481443045104,33.4839397774894
GS25,GS25,,편의점,"제주특별자치도 제주시 천수동로 2, (일도이동, 삼화)",126.54378735263701,33.5086970681664
GS25,GS25,오션스위츠점,편의점,"제주특별자치도 제주시 탑동해안로 74, (삼도이동)",126.52315527197399,33.5182348507212
GS25,GS25,제주도두점,편의점,"제주특별자치도 제주시 서해안로 160, (도두일동)",126.466161601522,33.5036581022471
GS25,GS25,제주토스카나호텔점,편의점,"제주특별자치도 서귀포시 용흥로66번길 158-7, (강정동)",126.484653137792,33.2656246093159
GS25,GS25,이중섭거리점,편의점,"제주특별자치도 서귀포시 이중섭로 16, (서귀동)",126.563974628188,33.2467126411791
GS25,GS25,동홍대리점,편의점,"제주특별자치도 서귀포시 동홍중앙로 49, (동홍동)",126.57189775644899,33.255026602734496
GS25,GS25,연동문화점,편의점,"제주특별자치도 제주시 신광로 21, (연동)",126.490384365702,33.4901165858854
GS25,GS25일도신천지점,일도신천지점,편의점,"제주특별자치도 제주시 천수로 85, (일도이동)",126.544786662262,33.5062204648147
GS25,GS25,안덕대평점,편의점,"제주특별자치도 서귀포시 안덕면 난드르로 11, (창천리)",126.36716482576,33.2346192960688
GS25,GS25,제주에스중앙병원점,편의점,"제주특별자치도 제주시 월랑로 91, (이호이동)",126.47053675136299,33.492307408852504
GS25,GS25,제주성산항점,편의점,"제주특별자치도 서귀포시 성산읍 성산등용로 88, (성산리)",126.929964143491,33.469347494253
GS25,GS25,제주보성점,편의점,"제주특별자치도 제주시 중앙로 198, (이도일동)",126.528226145191,33.5016341617043
GS25,GS25,연동신라점,편의점,"제주특별자치도 제주시 노연로 61, (연동)",126.48683766659599,33.4861695335147
GS25,GS25,제주여중고점,편의점,"제주특별자치도 제주시 구산로 46, (아라일동)",126.53994189088999,33.4838945352643
GS25,GS25,휴팰리스점,편의점,"제주특별자치도 제주시 구남동2길 59, (이도이동, 휴팰리스1차)",126.53267667711901,33.4872437261141
GS25,GS25,제주삼화점,편의점,"제주특별자치도 제주시 화삼북로2길 32, (화북일동)",126.576108985639,33.5144822830247
GS25,GS25,제주공항점,편의점,제주특별자치도 제주시 신성로6길 16,126.525335822817,33.494387206191696
GS25,GS25,월정해변점,편의점,"제주특별자치도 제주시 구좌읍 월정7길 52-1, (월정리)",126.796471751387,33.5553270438727
GS25,GS25시,,편의점,"제주특별자치도 서귀포시 중앙로42번길 46, (서귀동)",126.56638942745501,33.2493101018056
GS25,GS25,서귀효돈점,편의점,"제주특별자치도 서귀포시 효돈로 144, (신효동)",126.61423478494801,33.263719392227806
GS25,GS25,N제주관제점,편의점,"제주특별자치도 서귀포시 대정읍 일주서로 2512-41, (하모리)",126.25585605910801,33.230493649159996
GS25,GS25,서귀에덴점,편의점,"제주특별자치도 서귀포시 남원읍 태위로 623, (남원리)",126.713282614323,33.277749386597
GS25,GS25,제주칠성로점,편의점,"제주특별자치도 제주시 도령로11길 14, (연동, 만진리치빌)",126.48709123450199,33.4920057755822
GS25,GS25,제주화순점,편의점,"제주특별자치도 서귀포시 안덕면 화순로 98, (화순리)",126.33604646639999,33.2468469585285
GS25,GS25,화북주공점,편의점,제주특별자치도 제주시 동화로1길 45-10,126.577380951258,33.5183105763728
GS25,GS25,서귀호근점,편의점,"제주특별자치도 서귀포시 호근서호로 153, (호근동)",126.52458958244699,33.2572512123715
GS25,GS25,아라금천점,편의점,"제주특별자치도 제주시 아봉로 83, (아라이동)",126.55266172440201,33.4785801776277
GS25,GS25,다인리조트점,편의점,"제주특별자치도 제주시 애월읍 애월해안로 400-9, (고내리)",126.351323308101,33.4714222660425
GS25,GS25,안덕사계점,편의점,"제주특별자치도 서귀포시 안덕면 사계중앙로 8-3, (사계리)",126.297468138173,33.2310611948578
GS25,GS25,제주남문점,식료품점,"제주특별자치도 제주시 남성로 159, (삼도이동)",126.52249696982099,33.5094727500679
