가게명,지점명,업체유형,주소,경도,위도,	ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,제주한경점,편의점,"제주특별자치도 제주시 한경면 중산간서로 3660, (저지리)",126.2562298,33.33096819,,,,,,
GS25,서귀엘지점,편의점,"제주특별자치도 서귀포시 중앙로 45, (서귀동)",126.56156,33.24869533,,,,,,
GS25,노형국일점,편의점,"제주특별자치도 제주시 원노형6길 8, (노형동)",126.4827536,33.48529015,,,,,,
GS25,서귀오션점,편의점,"제주특별자치도 서귀포시 중앙로 19-1, (서귀동)",126.5618473,33.24622823,,,,,,
GS25,대정상모점,편의점,"제주특별자치도 서귀포시 대정읍 상모로 290, (상모리)",126.2584211,33.22339823,,,,,,
GS25,금능해변점,편의점,"제주특별자치도 제주시 한림읍 금능길 92, (금능리)",126.2328382,33.38890409,,,,,,
GS25,제주하귀점,편의점,"제주특별자치도 제주시 애월읍 일주서로 7143, (하귀1리)",126.4119333,33.48602557,,,,,,
GS25,서귀고점,편의점,"제주특별자치도 서귀포시 중앙로 148, (동홍동)",126.5605196,33.25783466,,,,,,
GS25,대평중앙점,편의점,"제주특별자치도 서귀포시 예래로 454, (하예동)",126.3696726,33.2353374,,,,,,
GS25,서귀서문점,편의점,"제주특별자치도 서귀포시 서문로 11, (서귀동)",126.5601924,33.25160975,,,,,,
GS25,제주세화점,편의점,"제주특별자치도 제주시 구좌읍 구좌로 77-1, (세화리)",126.8589794,33.52124284,,,,,,
GS25,제주간,편의점,"제주특별자치도 제주시 간월동로 10, (아라이동)",126.5438211,33.48547286,,,,,,
GS25,제주남광점,편의점,"제주특별자치도 제주시 오복4길 38, (이도이동, 이도한우리아파트)",126.5379079,33.49352644,,,,,,
GS25,제주산방산점,편의점,"제주특별자치도 서귀포시 안덕면 산방로 260, (사계리)",126.3080378,33.23481171,,,,,,
GS25,제주용담점,편의점,"제주특별자치도 제주시 용남1길 18, (용담일동)",126.5143566,33.50718457,,,,,,
GS25,제주아라점,편의점,"제주특별자치도 제주시 중앙로 576, (아라일동)",126.5453482,33.47200318,,,,,,
GS25,제주성산점,편의점,"제주특별자치도 서귀포시 성산읍 성산중앙로 44, (성산리)",126.933854,33.46357449,,,,,,
GS25,제주수덕점,편의점,"제주특별자치도 제주시 수덕5길 40, (노형동)",126.4746865,33.48515505,,,,,,
GS25,신라기숙사점,편의점,"제주특별자치도 서귀포시 홍중로 35, (서홍동)",126.5566347,33.25522905,,,,,,
GS25,신서귀LH점,편의점,"제주특별자치도 서귀포시 서호남로 92-15, (서호동, 제주서귀포혁신도시엘에이치1단지)",126.5237099,33.24957712,,,,,,
GS25,노형점,편의점,"제주특별자치도 제주시 원노형남2길 39, (노형동)",126.4853479,33.4827434,,,,,,
GS25,이도사랑점,편의점,"제주특별자치도 제주시 연삼로 417, (이도이동)",126.5355477,33.49630246,,,,,,
GS25,제주남원점,편의점,"제주특별자치도 서귀포시 남원읍 태위로 680-1, (남원리)",126.7192218,33.27900088,,,,,,
GS25,제주영어마을점,편의점,"제주특별자치도 서귀포시 대정읍 에듀시티로 74, (보성리, 라온프라이빗에듀)",126.2813578,33.28790855,,,,,,
GS25,도남방선문점,편의점,"제주특별자치도 제주시 복지로 72, (도남동, 방선문빌리지4차)",126.5253719,33.48718406,,,,,,
GS25,N구삼예비점,편의점,"제주특별자치도 서귀포시 배낭골로 109, (토평동)",126.5863197,33.29769345,,,,,,
GS25,중문마을점,편의점,"제주특별자치도 서귀포시 천제연로207번길 18, (중문동)",126.4271578,33.25318984,,,,,,
GS25,한라수목원점,편의점,"제주특별자치도 제주시 수목원길 65-6, (연동)",126.4919934,33.47053604,,,,,,
GS25,제주하귀로점,편의점,"제주특별자치도 제주시 애월읍 하귀로23길 1, (하귀2리)",126.4028631,33.48016609,,,,,,
GS25,제대정문점,편의점,"제주특별자치도 제주시 제주대학로 113, (아라이동)",126.5621184,33.46035206,,,,,,
GS25,제주원노형점,편의점,"제주특별자치도 제주시 원노형3길 34, (노형동)",126.4826092,33.48678499,,,,,,
GS25,제주표선점,편의점,"제주특별자치도 서귀포시 표선면 표선중앙로 90, (표선리)",126.833514,33.32563194,,,,,,
GS25,제주중앙여중점,편의점,"제주특별자치도 제주시 서사로11길 5, (삼도이동)",126.5208149,33.50586442,,,,,,
GS25,정든마을점,편의점,"제주특별자치도 제주시 달마루길 20-1, (노형동)",126.473999,33.48999701,,,,,,
GS25,노형이화점,편의점,"제주특별자치도 제주시 원노형로 3, (노형동)",126.4840281,33.48810061,,,,,,
GS25,서귀터미널점,편의점,"제주특별자치도 서귀포시 일주동로 9213, (법환동)",126.5085519,33.24870201,,,,,,
GS25,제대후문점,편의점,"제주특별자치도 제주시 산천단동2길 20, (아라일동)",126.5584758,33.44972516,,,,,,
GS25,일도중앙점,편의점,"제주특별자치도 제주시 고마로 143, (일도이동)",126.5433297,33.50196594,,,,,,
GS25,연동서강점,편의점,"제주특별자치도 제주시 신대로16길 43, (연동)",126.4918422,33.48670838,,,,,,
GS25,제주아로마,편의점,"제주특별자치도 제주시 연동10길 5, (연동)",126.4920844,33.48515161,,,,,,
GS25,다인리조트점,편의점,"제주특별자치도 제주시 애월읍 애월해안로 400-9, (고내리)",126.3513233,33.47142227,,,,,,
