,상품명,가격,상위카테고리,하위카테고리
75,팔도 일품해물라면 봉지120gX5입,"7,300",라면,짬뽕라면
76,팔도 일품해물라면 봉지120gX10입,"10,700",라면,짬뽕라면
77,(2000720) 봉지라면 오징어짬뽕 1박스,"39,800",라면,짬뽕라면
78,팔도 일품해물라면 봉지120gX20입,"17,400",라면,짬뽕라면
79,삼양 맛있는라면 해물맛 봉지 115gX20입,"19,900",라면,짬뽕라면
80,(2000780) 봉지라면 나가사끼 짬뽕 1박스,"42,500",라면,짬뽕라면
81,봉지라면 멀티팩라면 3종(김치라면+열라면+해물짬뽕),"9,600",라면,짬뽕라면
82,팔도 일품해물라면 봉지120gX40입,"30,900",라면,짬뽕라면
83,(1900850) 봉지라면 일품 해물라면 1박스,"35,200",라면,짬뽕라면
84,(2000660) 봉지라면 맛짬뽕 1박스,"48,200",라면,짬뽕라면
85,농심 봉지라면 14종 골라담기/신라면 짜파게티 너구리 안성탕면 둥지냉면 비빔면 쫄쫄면 칼빔면,"3,100",라면,짜장라면
86,(2000820) 봉지라면 짜짜로니 1박스,"35,500",라면,짜장라면
87,(1900090) 봉지라면 짜왕 건면 1박스,"52,600",라면,짜장라면
88,(2000750) 봉지라면 짜파게티 1박스,"39,800",라면,짜장라면
89,(2000680) 봉지라면 사천 짜파게티 1박스,"44,400",라면,짜장라면
90,(2000740) 봉지라면 짜왕 1박스,"48,200",라면,짜장라면
91,(1900650) 봉지라면 진짜장 1박스,"49,200",라면,짜장라면
92,(1900530) 봉지라면 라이트 불닭 볶음면 1박스,"45,200",라면,비빔면/볶음면
93,(1900050) 봉지라면 찰비빔면 1박스,"30,000",라면,비빔면/볶음면
94,(1900550) 봉지라면 까르보 불닭 볶음면 1박스,"46,000",라면,비빔면/볶음면
95,삼양라면 봉지 20입+불닭볶음면 봉지 20입,"32,800",라면,비빔면/볶음면
96,(1900560) 봉지라면 열무 비빔면 1박스,"37,200",라면,비빔면/볶음면
97,(1900830) 봉지라면 팔도 비빔면 매운맛 1박스,"37,200",라면,비빔면/볶음면
98,(2000880) 봉지라면 팔도 비빔면 1박스,"38,000",라면,비빔면/볶음면
99,(2000800) 봉지라면 불닭볶음면 1박스,"42,500",라면,비빔면/볶음면
100,(1900510) 봉지라면 도전 불닭 비빔면 1박스,"45,200",라면,비빔면/볶음면
101,삼양 신제품 도전! 불닭비빔면/열무비빔면 베스트 봉지라면 혼합구성,"3,900",라면,비빔면/볶음면
102,팔도 비빔면 봉지 130gX5개+남자라면 115gX10입,"13,500",라면,비빔면/볶음면
103,삼양라면 봉지 10입+불닭비빔면 봉지 10입,"20,000",라면,비빔면/볶음면
104,(1900680) 봉지라면 메밀 비빔면 1박스,"30,000",라면,비빔면/볶음면
