,지점명,판매물품
163,선릉사거리점,카페 아메리카노
164,선릉사거리점,카페 라떼
165,선릉사거리점,콜드브루 아인슈페너
166,선릉사거리점,디카페인 콜드브루 아메리카노
167,선릉사거리점,밥대신라이스 쉐이크
168,선릉사거리점,버블 크림 밀크티
169,선릉사거리점,에스프레소
170,선릉점,달고나 라떼
171,선릉점,흑당 라떼
172,선릉점,버블 흑당 라떼
173,선릉점,카페 아메리카노
174,선릉점,카페 라떼
175,선릉점,콜드브루 아인슈페너
176,선릉점,디카페인 콜드브루 아메리카노
177,선릉점,밥대신라이스 쉐이크
178,선릉점,버블 크림 밀크티
179,선릉점,에스프레소
180,선정릉역점,달고나 라떼
181,선정릉역점,흑당 라떼
182,선정릉역점,버블 흑당 라떼
183,선정릉역점,카페 아메리카노
184,선정릉역점,카페 라떼
185,선정릉역점,콜드브루 아인슈페너
186,선정릉역점,디카페인 콜드브루 아메리카노
187,선정릉역점,밥대신라이스 쉐이크
188,선정릉역점,버블 크림 밀크티
189,선정릉역점,에스프레소
190,수서역점,달고나 라떼
191,수서역점,흑당 라떼
192,수서역점,버블 흑당 라떼
193,수서역점,카페 아메리카노
194,수서역점,카페 라떼
195,수서역점,콜드브루 아인슈페너
196,수서역점,디카페인 콜드브루 아메리카노
197,수서역점,밥대신라이스 쉐이크
198,수서역점,버블 크림 밀크티
199,수서역점,에스프레소
200,신사역점,달고나 라떼
201,신사역점,흑당 라떼
202,신사역점,버블 흑당 라떼
203,신사역점,카페 아메리카노
204,신사역점,카페 라떼
205,신사역점,콜드브루 아인슈페너
206,신사역점,디카페인 콜드브루 아메리카노
207,신사역점,밥대신라이스 쉐이크
208,신사역점,버블 크림 밀크티
209,신사역점,에스프레소
210,신사점,달고나 라떼
211,신사점,흑당 라떼
212,신사점,버블 흑당 라떼
213,신사점,카페 아메리카노
214,신사점,카페 라떼
215,신사점,콜드브루 아인슈페너
216,신사점,디카페인 콜드브루 아메리카노
217,신사점,밥대신라이스 쉐이크
218,신사점,버블 크림 밀크티
219,신사점,에스프레소
220,압구정로데오역점,달고나 라떼
221,압구정로데오역점,흑당 라떼
222,압구정로데오역점,버블 흑당 라떼
223,압구정로데오역점,카페 아메리카노
224,압구정로데오역점,카페 라떼
225,압구정로데오역점,콜드브루 아인슈페너
226,압구정로데오역점,디카페인 콜드브루 아메리카노
227,압구정로데오역점,밥대신라이스 쉐이크
228,압구정로데오역점,버블 크림 밀크티
229,압구정로데오역점,에스프레소
230,압구정점,달고나 라떼
231,압구정점,흑당 라떼
232,압구정점,버블 흑당 라떼
233,압구정점,카페 아메리카노
234,압구정점,카페 라떼
235,압구정점,콜드브루 아인슈페너
236,압구정점,디카페인 콜드브루 아메리카노
237,압구정점,밥대신라이스 쉐이크
238,압구정점,버블 크림 밀크티
239,압구정점,에스프레소
240,압구정현대점,달고나 라떼
241,압구정현대점,흑당 라떼
242,압구정현대점,버블 흑당 라떼
243,압구정현대점,카페 아메리카노
244,압구정현대점,카페 라떼
245,압구정현대점,콜드브루 아인슈페너
246,압구정현대점,디카페인 콜드브루 아메리카노
247,압구정현대점,밥대신라이스 쉐이크
248,압구정현대점,버블 크림 밀크티
249,압구정현대점,에스프레소
250,역삼더블루점,달고나 라떼
251,역삼더블루점,흑당 라떼
252,역삼더블루점,버블 흑당 라떼
253,역삼더블루점,카페 아메리카노
254,역삼더블루점,카페 라떼
255,역삼더블루점,콜드브루 아인슈페너
256,역삼더블루점,디카페인 콜드브루 아메리카노
257,역삼더블루점,밥대신라이스 쉐이크
258,역삼더블루점,버블 크림 밀크티
259,역삼더블루점,에스프레소
260,역삼상록점,달고나 라떼
261,역삼상록점,흑당 라떼
262,역삼상록점,버블 흑당 라떼
263,역삼상록점,카페 아메리카노
264,역삼상록점,카페 라떼
265,역삼상록점,콜드브루 아인슈페너
266,역삼상록점,디카페인 콜드브루 아메리카노
267,역삼상록점,밥대신라이스 쉐이크
268,역삼상록점,버블 크림 밀크티
269,역삼상록점,에스프레소
270,역삼역점,달고나 라떼
271,역삼역점,흑당 라떼
272,역삼역점,버블 흑당 라떼
273,역삼역점,카페 아메리카노
274,역삼역점,카페 라떼
275,역삼역점,콜드브루 아인슈페너
276,역삼역점,디카페인 콜드브루 아메리카노
277,역삼역점,밥대신라이스 쉐이크
278,역삼역점,버블 크림 밀크티
279,역삼역점,에스프레소
280,역삼월드점,달고나 라떼
281,역삼월드점,흑당 라떼
282,역삼월드점,버블 흑당 라떼
283,역삼월드점,카페 아메리카노
284,역삼월드점,카페 라떼
285,역삼월드점,콜드브루 아인슈페너
286,역삼월드점,디카페인 콜드브루 아메리카노
287,역삼월드점,밥대신라이스 쉐이크
288,역삼월드점,버블 크림 밀크티
289,역삼월드점,에스프레소
290,역삼점,달고나 라떼
291,역삼점,흑당 라떼
292,역삼점,버블 흑당 라떼
293,역삼점,카페 아메리카노
294,역삼점,카페 라떼
295,역삼점,콜드브루 아인슈페너
296,역삼점,디카페인 콜드브루 아메리카노
297,역삼점,밥대신라이스 쉐이크
298,역삼점,버블 크림 밀크티
299,역삼점,에스프레소
300,역삼중앙점,달고나 라떼
301,역삼중앙점,흑당 라떼
302,역삼중앙점,버블 흑당 라떼
303,역삼중앙점,카페 아메리카노
304,역삼중앙점,카페 라떼
305,역삼중앙점,콜드브루 아인슈페너
306,역삼중앙점,디카페인 콜드브루 아메리카노
307,역삼중앙점,밥대신라이스 쉐이크
308,역삼중앙점,버블 크림 밀크티
309,역삼중앙점,에스프레소
310,역삼초교점,달고나 라떼
311,역삼초교점,흑당 라떼
312,역삼초교점,버블 흑당 라떼
313,역삼초교점,카페 아메리카노
314,역삼초교점,카페 라떼
315,역삼초교점,콜드브루 아인슈페너
316,역삼초교점,디카페인 콜드브루 아메리카노
317,역삼초교점,밥대신라이스 쉐이크
318,역삼초교점,버블 크림 밀크티
319,역삼초교점,에스프레소
320,역삼충현점,달고나 라떼
321,역삼충현점,흑당 라떼
322,역삼충현점,버블 흑당 라떼
323,역삼충현점,카페 아메리카노
324,역삼충현점,카페 라떼
325,역삼충현점,콜드브루 아인슈페너
326,역삼충현점,디카페인 콜드브루 아메리카노
327,역삼충현점,밥대신라이스 쉐이크
328,역삼충현점,버블 크림 밀크티
329,역삼충현점,에스프레소
330,강남구청사거리점,딸기 요거트 쉐이크
331,강남구청사거리점,카페 아메리카노
332,강남구청사거리점,카페라떼
333,강남구청사거리점,딸기 스무디
334,강남구청사거리점,핫초코
335,강남구청사거리점,자몽티
336,강남구청사거리점,얼그레이
337,강남구청사거리점,쿠키앤크림 탐앤치노
338,강남구청사거리점,에스프레소
339,강남구청사거리점,복숭아 아이스티
340,강남면허점,딸기 요거트 쉐이크
341,강남면허점,카페 아메리카노
342,강남면허점,카페라떼
343,강남면허점,딸기 스무디
344,강남면허점,핫초코
345,강남면허점,자몽티
346,강남면허점,얼그레이
347,강남면허점,쿠키앤크림 탐앤치노
348,강남면허점,에스프레소
349,강남면허점,복숭아 아이스티
350,논현1호점,딸기 요거트 쉐이크
351,논현1호점,카페 아메리카노
352,논현1호점,카페라떼
353,논현1호점,딸기 스무디
354,논현1호점,핫초코
355,논현1호점,자몽티
356,논현1호점,얼그레이
357,논현1호점,쿠키앤크림 탐앤치노
358,논현1호점,에스프레소
359,논현1호점,복숭아 아이스티
360,논현점,딸기 요거트 쉐이크
361,논현점,카페 아메리카노
362,논현점,카페라떼
363,논현점,딸기 스무디
364,논현점,핫초코
365,논현점,자몽티
366,논현점,얼그레이
367,논현점,쿠키앤크림 탐앤치노
368,논현점,에스프레소
369,논현점,복숭아 아이스티
370,도산로점,딸기 요거트 쉐이크
371,도산로점,카페 아메리카노
372,도산로점,카페라떼
373,도산로점,딸기 스무디
374,도산로점,핫초코
375,도산로점,자몽티
376,도산로점,얼그레이
377,도산로점,쿠키앤크림 탐앤치노
378,도산로점,에스프레소
379,도산로점,복숭아 아이스티
380,블랙 압구정점,딸기 요거트 쉐이크
381,블랙 압구정점,카페 아메리카노
382,블랙 압구정점,카페라떼
383,블랙 압구정점,딸기 스무디
384,블랙 압구정점,핫초코
385,블랙 압구정점,자몽티
386,블랙 압구정점,얼그레이
387,블랙 압구정점,쿠키앤크림 탐앤치노
388,블랙 압구정점,에스프레소
389,블랙 압구정점,복숭아 아이스티
390,블랙 청담점,딸기 요거트 쉐이크
391,블랙 청담점,카페 아메리카노
392,블랙 청담점,카페라떼
393,블랙 청담점,딸기 스무디
394,블랙 청담점,핫초코
395,블랙 청담점,자몽티
396,블랙 청담점,얼그레이
397,블랙 청담점,쿠키앤크림 탐앤치노
398,블랙 청담점,에스프레소
399,블랙 청담점,복숭아 아이스티
400,삼성2호점,딸기 요거트 쉐이크
401,삼성2호점,카페 아메리카노
402,삼성2호점,카페라떼
403,삼성2호점,딸기 스무디
404,삼성2호점,핫초코
405,삼성2호점,자몽티
406,삼성2호점,얼그레이
407,삼성2호점,쿠키앤크림 탐앤치노
408,삼성2호점,에스프레소
409,삼성2호점,복숭아 아이스티
410,삼성본점,딸기 요거트 쉐이크
411,삼성본점,카페 아메리카노
412,삼성본점,카페라떼
413,삼성본점,딸기 스무디
414,삼성본점,핫초코
415,삼성본점,자몽티
416,삼성본점,얼그레이
417,삼성본점,쿠키앤크림 탐앤치노
418,삼성본점,에스프레소
419,삼성본점,복숭아 아이스티
420,아셈타워점,딸기 요거트 쉐이크
421,아셈타워점,카페 아메리카노
422,아셈타워점,카페라떼
423,아셈타워점,딸기 스무디
424,아셈타워점,핫초코
425,아셈타워점,자몽티
426,아셈타워점,얼그레이
427,아셈타워점,쿠키앤크림 탐앤치노
428,아셈타워점,에스프레소
429,아셈타워점,복숭아 아이스티
430,압구정로데오점,딸기 요거트 쉐이크
431,압구정로데오점,카페 아메리카노
432,압구정로데오점,카페라떼
433,압구정로데오점,딸기 스무디
434,압구정로데오점,핫초코
435,압구정로데오점,자몽티
436,압구정로데오점,얼그레이
437,압구정로데오점,쿠키앤크림 탐앤치노
438,압구정로데오점,에스프레소
439,압구정로데오점,복숭아 아이스티
440,압구정본점,딸기 요거트 쉐이크
441,압구정본점,카페 아메리카노
442,압구정본점,카페라떼
443,압구정본점,딸기 스무디
444,압구정본점,핫초코
445,압구정본점,자몽티
446,압구정본점,얼그레이
447,압구정본점,쿠키앤크림 탐앤치노
448,압구정본점,에스프레소
449,압구정본점,복숭아 아이스티
450,압구정점,딸기 요거트 쉐이크
451,압구정점,카페 아메리카노
452,압구정점,카페라떼
453,압구정점,딸기 스무디
454,압구정점,핫초코
455,압구정점,자몽티
456,압구정점,얼그레이
457,압구정점,쿠키앤크림 탐앤치노
458,압구정점,에스프레소
459,압구정점,복숭아 아이스티
460,언주로점,딸기 요거트 쉐이크
461,언주로점,카페 아메리카노
462,언주로점,카페라떼
463,언주로점,딸기 스무디
464,언주로점,핫초코
465,언주로점,자몽티
466,언주로점,얼그레이
467,언주로점,쿠키앤크림 탐앤치노
468,언주로점,에스프레소
469,언주로점,복숭아 아이스티
470,역삼2호점,딸기 요거트 쉐이크
471,역삼2호점,카페 아메리카노
472,역삼2호점,카페라떼
473,역삼2호점,딸기 스무디
474,역삼2호점,핫초코
475,역삼2호점,자몽티
476,역삼2호점,얼그레이
477,역삼2호점,쿠키앤크림 탐앤치노
478,역삼2호점,에스프레소
479,역삼2호점,복숭아 아이스티
480,역삼르까프골프장점,딸기 요거트 쉐이크
481,역삼르까프골프장점,카페 아메리카노
482,역삼르까프골프장점,카페라떼
483,역삼르까프골프장점,딸기 스무디
484,역삼르까프골프장점,핫초코
485,역삼르까프골프장점,자몽티
486,역삼르까프골프장점,얼그레이
487,역삼르까프골프장점,쿠키앤크림 탐앤치노
488,역삼르까프골프장점,에스프레소
489,역삼르까프골프장점,복숭아 아이스티
490,역삼GS타워점,딸기 요거트 쉐이크
491,역삼GS타워점,카페 아메리카노
492,역삼GS타워점,카페라떼
493,역삼GS타워점,딸기 스무디
494,역삼GS타워점,핫초코
495,역삼GS타워점,자몽티
496,역삼GS타워점,얼그레이
497,역삼GS타워점,쿠키앤크림 탐앤치노
498,역삼GS타워점,에스프레소
499,역삼GS타워점,복숭아 아이스티
500,와인탐탐 블랙 도산로점,딸기 요거트 쉐이크
501,와인탐탐 블랙 도산로점,카페 아메리카노
502,와인탐탐 블랙 도산로점,카페라떼
503,와인탐탐 블랙 도산로점,딸기 스무디
504,와인탐탐 블랙 도산로점,핫초코
505,와인탐탐 블랙 도산로점,자몽티
506,와인탐탐 블랙 도산로점,얼그레이
507,와인탐탐 블랙 도산로점,쿠키앤크림 탐앤치노
508,와인탐탐 블랙 도산로점,에스프레소
509,와인탐탐 블랙 도산로점,복숭아 아이스티
510,일원점,딸기 요거트 쉐이크
511,일원점,카페 아메리카노
512,일원점,카페라떼
513,일원점,딸기 스무디
514,일원점,핫초코
515,일원점,자몽티
516,일원점,얼그레이
517,일원점,쿠키앤크림 탐앤치노
518,일원점,에스프레소
519,일원점,복숭아 아이스티
520,청담2호점,딸기 요거트 쉐이크
521,청담2호점,카페 아메리카노
522,청담2호점,카페라떼
523,청담2호점,딸기 스무디
524,청담2호점,핫초코
525,청담2호점,자몽티
526,청담2호점,얼그레이
527,청담2호점,쿠키앤크림 탐앤치노
528,청담2호점,에스프레소
529,청담2호점,복숭아 아이스티
530,청담웨딩홀점,딸기 요거트 쉐이크
531,청담웨딩홀점,카페 아메리카노
532,청담웨딩홀점,카페라떼
533,청담웨딩홀점,딸기 스무디
534,청담웨딩홀점,핫초코
535,청담웨딩홀점,자몽티
536,청담웨딩홀점,얼그레이
537,청담웨딩홀점,쿠키앤크림 탐앤치노
538,청담웨딩홀점,에스프레소
539,청담웨딩홀점,복숭아 아이스티
540,탐스커버리 청담점,딸기 요거트 쉐이크
541,탐스커버리 청담점,카페 아메리카노
542,탐스커버리 청담점,카페라떼
543,탐스커버리 청담점,딸기 스무디
544,탐스커버리 청담점,핫초코
545,탐스커버리 청담점,자몽티
546,탐스커버리 청담점,얼그레이
547,탐스커버리 청담점,쿠키앤크림 탐앤치노
548,탐스커버리 청담점,에스프레소
549,탐스커버리 청담점,복숭아 아이스티
550,삼성역,콜드 브루
551,삼성역,오늘의 커피
552,삼성역,카페 아메리카노
553,삼성역,카라멜 마키아또
554,삼성역,스타벅스 돌체 라떼
555,삼성역,에스프레소
556,삼성역,자바 칩 프라푸치노
557,삼성역,망고 바나나 블렌디드
558,삼성역,잉글리쉬 브렉퍼스트 티
559,삼성역,허니 얼 그레이 밀크 티
560,도산가루수길,콜드 브루
561,도산가루수길,오늘의 커피
562,도산가루수길,카페 아메리카노
563,도산가루수길,카라멜 마키아또
564,도산가루수길,스타벅스 돌체 라떼
565,도산가루수길,에스프레소
566,도산가루수길,자바 칩 프라푸치노
567,도산가루수길,망고 바나나 블렌디드
568,도산가루수길,잉글리쉬 브렉퍼스트 티
569,도산가루수길,허니 얼 그레이 밀크 티
570,논현힐탑,콜드 브루
571,논현힐탑,오늘의 커피
572,논현힐탑,카페 아메리카노
573,논현힐탑,카라멜 마키아또
574,논현힐탑,스타벅스 돌체 라떼
575,논현힐탑,에스프레소
576,논현힐탑,자바 칩 프라푸치노
577,논현힐탑,망고 바나나 블렌디드
578,논현힐탑,잉글리쉬 브렉퍼스트 티
579,논현힐탑,허니 얼 그레이 밀크 티
580,선릉로,콜드 브루
581,선릉로,오늘의 커피
582,선릉로,카페 아메리카노
583,선릉로,카라멜 마키아또
584,선릉로,스타벅스 돌체 라떼
585,선릉로,에스프레소
586,선릉로,자바 칩 프라푸치노
587,선릉로,망고 바나나 블렌디드
588,선릉로,잉글리쉬 브렉퍼스트 티
589,선릉로,허니 얼 그레이 밀크 티
590,포스코,콜드 브루
591,포스코,오늘의 커피
592,포스코,카페 아메리카노
593,포스코,카라멜 마키아또
594,포스코,스타벅스 돌체 라떼
595,포스코,에스프레소
596,포스코,자바 칩 프라푸치노
597,포스코,망고 바나나 블렌디드
598,포스코,잉글리쉬 브렉퍼스트 티
599,포스코,허니 얼 그레이 밀크 티
600,르네상스사거리,콜드 브루
601,르네상스사거리,오늘의 커피
602,르네상스사거리,카페 아메리카노
603,르네상스사거리,카라멜 마키아또
604,르네상스사거리,스타벅스 돌체 라떼
605,르네상스사거리,에스프레소
606,르네상스사거리,자바 칩 프라푸치노
607,르네상스사거리,망고 바나나 블렌디드
608,르네상스사거리,잉글리쉬 브렉퍼스트 티
609,르네상스사거리,허니 얼 그레이 밀크 티
610,압구정로데오역,콜드 브루
611,압구정로데오역,오늘의 커피
612,압구정로데오역,카페 아메리카노
613,압구정로데오역,카라멜 마키아또
