productName,price,division1,division2,division3,seller,update,barcode,id
상큼하게포도40팩,3000,가공식품,과일.채소류음료,과.채음료,(주)담수연,2015-01-22 11:12:12,8809382930255,2010049401815
예쁘게사과파우치1팩100ML,7000,가공식품,과일.채소류음료,과.채음료,(주)담수연,2015-01-22 11:12:12,8809382930217,2010049401814
자신있게감귤40팩,26000,가공식품,과일.채소류음료,과.채음료,(주)담수연,2015-01-22 11:12:12,8809382930231,2010049401813
자신있게감귤파우치1팩100ML,10000,가공식품,과일.채소류음료,과.채음료,(주)담수연,2015-01-22 11:12:12,8809382930200,2010049401813
예쁘게사과40팩,37000,가공식품,과일.채소류음료,과.채음료,(주)담수연,2015-01-22 11:12:12,8809382930248,2010049401814
풍기인삼농협 황풍정 프리미엄 홍삼흑초,7000,가공식품,기타음료,음료베이스,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12,8809050511090,2002055400554
풍기인삼농협 황풍정 프리미엄 홍삼생초,14000,가공식품,기타음료,음료베이스,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12,8809050511083,2002055400553
풍기인삼농협 황풍정 홍삼액 수 50ml*30포,23000,가공식품,음료류,인삼.홍삼음료,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12,8809050511144,2002055400552
황풍정홍삼액수,12000,가공식품,음료류,인삼.홍삼음료,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12,8809050511038,2002055400552
트로피카나 스무디 바나나망고235㎖,28000,가공식품,과일.채소류음료,과.채주스,롯데칠성음료(주),2015-01-22 11:12:12,8801056038649,19780368002344
롯데칠성음료 트로피카나 복숭아라떼 300ml펫,16000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056058227,19780368002384
광동제약(주) 비타500F 240ml,12000,가공식품,기타음료,혼합음료,광동제약(주),2015-01-22 11:12:12,8806002010977,19960308010338
밀키스 250ML,25000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056154011,1978036800228
밀키스500ml,21000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056755010,1978036800228
롯데칠성 밀키스 250MLx6`S,37000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056154066,1978036800228
밀키스 1.5L,5000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056201012,1978036800228
밀키스오리지널250ml,9000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056164011,1978036800228
