브랜드명,지점명,업체유형,도로명주소,위도,경도,상가업소번호,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,봉안빌리지점,편의점,"세종특별자치시 장군면 월현윗길 27, (봉안리)",36.5012728116714,127.222889018627,3168376,,,,,,
이디야,세종시첫마을점,프렌차이즈,"세종특별자치시 나리1로 16, 301동  (한솔동, 첫마을퍼스트프라임3단지)",36.4772779766924,127.259039312592,11208083,,,,,,
