상품명,가격,상위카테고리,하위카테고리
[오뚜기] 진짜장 컵 70g x 15개,"16,900",컵라면,짜장라면
선물) 농심 신라면 큰사발 114g 8입 + 짜파게티 큰사발발 123g 8입,"20,900",컵라면,짜장라면
선물) 농심 짜파게티 큰사발 123g 8입+김치 큰사발 112g 8입,"20,900",컵라면,짜장라면
(1900240) 컵라면 사천 짜파게티 큰사발 1박스,"25,500",컵라면,짜장라면
[삼양]큰컵 까르보불닭볶음면105g,990,컵라면,비빔면/볶음면
(2001300) 컵라면 불닭볶음면 큰사발 1박스,"22,600",컵라면,비빔면/볶음면
삼양 큰컵 치즈불닭볶음면  X6입,"8,940",컵라면,비빔면/볶음면
삼양 큰컵 쫄볶이불닭볶음면 120gX8입,"12,220",컵라면,비빔면/볶음면
삼양 큰컵 치즈불닭볶음면 105gX4입,"7,180",컵라면,비빔면/볶음면
삼양 큰컵 불닭볶음면105gX16입,"20,010",컵라면,비빔면/볶음면
삼양 큰컵 쫄볶이 불닭볶음면120gX4입,"7,520",컵라면,비빔면/볶음면
(1900590) 컵라면 까르보 불닭 볶음면 큰사발 1박스,"23,900",컵라면,비빔면/볶음면
삼양 큰컵 치즈불닭볶음면105gX16입,"19,500",컵라면,비빔면/볶음면
(1900610) 컵라면 불닭 볶음면 컵 1박스/6컵,"6,200",컵라면,비빔면/볶음면
삼양 큰컵 까르보불닭볶음면105gX16입,"20,900",컵라면,비빔면/볶음면
(2001440) 컵라면 팔도 비빔면 1박스,"16,600",컵라면,비빔면/볶음면
삼양 큰컵 까르보불닭볶음면 105gX8입,"13,900",컵라면,비빔면/볶음면
큰컵 쫄볶이 불닭볶음면 120gx16입,"23,500",컵라면,비빔면/볶음면
왕뚜껑110gX4개+비빔면컵115gX4개,"9,900",컵라면,비빔면/볶음면
왕뚜껑110gX4개+도시락86gX4개+비빔면컵115gX4개,"12,900",컵라면,비빔면/볶음면
비빔면130gX15개+더왕뚜껑120gX5개,"17,900",컵라면,비빔면/볶음면
(2001350) 컵라면 치즈 불닭볶음면 큰사발 1박스,"22,600",컵라면,비빔면/볶음면
