,제품id,제품명,가격,대분류,중분류,소분류,브랜드
39,994994993996993996,샘물 2L*6병,"3,700",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
40,999992997992998991,미네마인 스파클링 워터 500ml×20병,"9,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
41,994999997997997994,샘물 300ml×40병,"8,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
42,991995990990992992, 웨이크업뷰티 500ml x20병 /생수/샘물,"7,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
43,998998998991998998, 아쿠아포레 330ml x20병 프리미엄 생수/심층암반수/샘물,"6,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
44,994998999995993995, 동원샘물 300ml x20병 /생수,"6,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
45,994994997993996992,샘물 웨이크업 뷰티 500ml×40병,"8,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
46,999997997999998991,샘물 500ml×20병 1box  쉬링크 무료배송,"4,600",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
47,998996991994998993,샘물 500ml×60병 쉬링크포장,"15,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
48,994999998990996993,샘물 2L×36병[6병×6팩],"19,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
49,996998995996990994,샘물 300ml×20병,"6,100",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
50,999994994992999994,샘물 웨이크업 뷰티 500ml×20병,"7,300",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
51,999992995998993997,샘물 2L×12병(6병×2팩) 무료배송,"6,700",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
52,997992993994993991,샘물 500ml×20병 쉬링크,"4,600",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
53,990992998990997992,샘물 아쿠아포레 330ml×20병/프리미엄 생수,"8,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
54,993995997995991994,샘물 500ml×80병 쉬링크포장,"20,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
55,999996995995994991,샘물 2L×18병(6병×3팩) 무료배송,"9,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
56,992992990997997990,샘물 웨이크업 뷰티 500ml×20병,"7,300",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
57,998992997994997991,샘물 300ml×20병,"6,100",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
58,996994994997994999, 아쿠아포레 330ml x20병 x4개(총80병) 프리미엄 생수/심층암반수/샘물,"21,700",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
59,990993997993991993, 동원샘물 500ml 20병 x4개(총80병),"18,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
60,990997993990996999,미네마인 스파클링 워터 500ml*40병,"18,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
61,995990993997997998,[스파클 빈병 회수] 스파클 생수 2리터×6병(6팩) - 총36병,"18,360",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
62,990997991992992994,[스파클 빈병 회수] 스파클 생수 2리터×6병(6팩) - 총36병,"17,960",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
63,992994999991992996,[스파클 빈병 회수] 스파클 생수 500ml×20병×5팩 (총100병),"21,480",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
64,999993992993997996,[스파클 빈병 회수] 스파클 생수 2리터×6병(4팩) - 총24병,"13,320",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
65,996991999991996994,[스파클 빈병 회수] 스파클 생수 2리터×6병(7팩) - 총42병,"21,380",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
66,992990993990999991,[스파클 빈병 회수] 스파클 생수 500ml×20병×3팩 (총60병),"13,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
67,991996994992999994,[스파클 빈병 회수] 스파클 생수 500ml×20병×10팩 (총200병),"40,910",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
68,996991994990991997,[스파클 빈병회수/에코캠페인] 환경까지 생각하는 스파클 생수 2리터/500ml/330ml/말통/탄산수 총모음!,"7,360",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
69,990992991995992996,[스파클 빈병 회수] 스파클 생수 2리터×6병(2팩) - 총12병,"7,360",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
70,992992998994999995,[스파클 빈병 회수] 스파클 생수 2리터 18병 / 500ml 40병/ 330ml 48병 중 택1,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
71,993994998998996990,[스파클 빈병 회수] 스파클 생수 2리터×6병(6팩) - 총36병,"18,360",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
72,993996994995996997,[스파클 빈병 회수] 스파클 생수 500ml×20병×6팩 (총120병),"25,530",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
73,998999997990994999,[스파클 빈병 회수] 스파클 생수 330ml×24병×3팩 (총72병),"14,730",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
74,998999999993995992,[스파클 빈병 회수] 스파클 생수 330ml×24병×5팩 (총120병),"23,320",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
75,999992993991991994,[스파클 빈병 회수] 스파클 생수 500ml×20병×2팩 (총40병),"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
76,994991999993996995,[스파클 빈병 회수] 스파클 생수 500ml×20병×5팩 (총100병),"21,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
77,992993990991991998,[스파클 빈병 회수] 스파클 생수 330ml×24병×10팩 (총240병),"41,730",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
