브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
나들가게,남천할인마트,편의점,"강원도 강릉시 단오장길 24, (노암동)",37.7478415437224,128.89649432956801,,,,,,
나들가게,원흥편의점,편의점,"강원도 평창군 봉평면 태기로 485-1, (면온리)",37.5637000526997,128.349353950752,,,,,,
나들가게,설악할인마트,편의점,"강원도 속초시 청호로 42, (청호동)",38.1938036836171,128.597828790367,,,,,,
나들가게,설악할인마트,편의점,"강원도 속초시 청봉로 183, (설악동)",38.1665908761823,128.52705697585,,,,,,
나들가게,조은슈퍼,편의점,"강원도 양구군 양구읍 박수근로 331, (정림리)",38.1014683733768,127.983247310359,,,,,,
GS25,강릉옥천점,편의점,"강원도 강릉시 율곡로 2837, (옥천동)",37.7573401489685,128.897437398677,,,,,,
GS25,주문진신리점,편의점,"강원도 강릉시 주문진읍 신리천로 56, (교항리)",37.884004783258206,128.82470424031,,,,,,
나들가게,늘푸른슈퍼,편의점,"강원도 속초시 동해대로3950번길 12, (조양동)",38.1877994421299,128.602094726246,,,,,,
나들가게,거북DC마트,편의점,"강원도 강릉시 노암길42번길 2, (노암동)",37.74730327758721,128.900913234437,,,,,,
나들가게,임계점,편의점,"강원도 정선군 임계면 백두대간로 1335-6, (봉산리)",37.4935757284287,128.847781775047,,,,,,
나들가게,대보마트,편의점,"강원도 원주시 호저면 원문로 643, (만종리)",37.3528223891408,127.89956870577801,,,,,,
GS25,원주비발디점,편의점,"강원도 원주시 모란1길 86, (우산동, 한라비발디1차)",37.3624873008555,127.93189975379299,,,,,,
GS25,삼척건지점,편의점,"강원도 삼척시 엑스포로 176, (건지동)",37.436362535985396,129.147251715706,,,,,,
스타벅스,강릉중앙로점,프렌차이즈,"강원도 강릉시 경강로 2096, (임당동)",37.7545474684864,128.896189398253,,,,,,
GS25,춘천으뜸점,편의점,"강원도 춘천시 춘천로 72-1, (효자동)",37.8707055268226,127.725179764658,,,,,,
나들가게,파워마트,편의점,"강원도 춘천시 후만로 119, (후평동, 금호빌리지)",37.8784508843586,127.756332285263,,,,,,
나들가게,역전마트,편의점,"강원도 원주시 원일로 211, (학성동)",37.355564192693,127.94417638300699,,,,,,
GS25,원주제일점,편의점,"강원도 원주시 금불1길 60-6, (단계동)",37.3487352367221,127.92999333995199,,,,,,
GS25,춘천희망점,편의점,"강원도 춘천시 후석로46번길 8, (석사동)",37.858075619812006,127.742239252572,,,,,,
탐앤탐스,원주휴게소부산방향점,프렌차이즈,"강원도 원주시 호저면 마근거리길 120, (옥산리)",37.433817335694,127.92954127928199,,,,,,
버거킹,강릉교동SK점,프렌차이즈,"강원도 강릉시 하슬라로 159, (교동)",37.7643698264843,128.874436857008,,,,,,
GS25,태백센터점,편의점,"강원도 태백시 감천로 18, (황지동)",37.1590416620463,128.988006793774,,,,,,
GS25,춘천캐슬점,편의점,"강원도 춘천시 방송길 70, (온의동, 온의롯데캐슬스카이클래스)",37.8701355893306,127.71661168683,,,,,,
탐앤탐스,문막휴게소하행선점,프렌차이즈,"강원도 원주시 문막읍 원문로 1234, (동화리)",37.335262429330896,127.858209077472,,,,,,
GS25,뉴강릉성산점,편의점,"강원도 강릉시 성산면 구산길 92, (구산리)",37.7146410307899,128.827156138227,,,,,,
나들가게,주공마트,편의점,"강원도 속초시 온정로 6, (조양동)",38.186603371052996,128.592804332181,,,,,,
탐앤탐스,문막휴게소상행선점,프렌차이즈,"강원도 원주시 문막읍 개나루길 13, (포진리)",37.297746498653005,127.817007330921,,,,,,
탐앤탐스,원주휴게소춘천방향점,프렌차이즈,"강원도 원주시 호저면 마근거리길 110, (옥산리)",37.434683708973,127.93178919972901,,,,,,
GS25,인제서호점,편의점,"강원도 인제군 북면 원통로 40, (원통리)",38.111790525226205,128.197885012663,,,,,,
GS25,원주만대로점,편의점,"강원도 원주시 만대로 92, (무실동)",37.3381483096428,127.91776948360202,,,,,,
이디야,춘천온의롯데캐슬점,프렌차이즈,"강원도 춘천시 방송길 70, (온의동, 온의롯데캐슬스카이클래스)",37.8701355893306,127.71661168683,,,,,,
GS25,고성죽왕점,편의점,"강원도 고성군 죽왕면 동해대로 5900, (오호리)",38.3289106810784,128.524593260791,,,,,,
이디야,춘천현대점,프렌차이즈,"강원도 춘천시 춘천로269번길 1, (후평동)",37.8801075177451,127.743026449496,,,,,,
GS25,태백온누리점,편의점,"강원도 태백시 백두대간로 12, (화전동)",37.1818918362722,128.97845013401002,,,,,,
스타벅스,휘닉스파크점,프렌차이즈,"강원도 평창군 봉평면 태기로 174, (면온리)",37.57374985338821,128.309595918605,,,,,,
GS25,영월역점,편의점,"강원도 영월군 영월읍 영월로 2105, (덕포리)",37.1827234333197,128.480319589784,,,,,,
GS25,횡계올림픽점,편의점,"강원도 평창군 대관령면 올림픽로 302, (수하리)",37.662282487265394,128.698905082436,,,,,,
GS25,원주혁신8호점,편의점,"강원도 원주시 양지뜰4길 32, (반곡동)",37.326515258875204,127.983127497524,,,,,,
스타벅스,속초DT점,프렌차이즈,"강원도 속초시 동해대로 4114, (조양동)",38.189906927363296,128.584417728286,,,,,,
GS25,원주혁신9호점,편의점,"강원도 원주시 혁신로 400, (반곡동, 푸른숨LH11단지)",37.33723705855439,127.974875361476,,,,,,
맥도날드,동해DT점,프렌차이즈,강원도 동해시 대학로 2,37.5208933966588,129.11390570247602,,,,,,
GS25,원주오성점,편의점,"강원도 원주시 판부면 오성마을길 63-13, (서곡리)",37.3187466768442,127.94857006013001,,,,,,
이디야,속초중앙점,프렌차이즈,"강원도 속초시 수복로 197-1, (금호동)",38.205292538853705,128.588616976319,,,,,,
이디야,연봉점,프렌차이즈,"강원도 홍천군 홍천읍 연봉로 32, (연봉리)",37.6819949260026,127.877233767679,,,,,,
GS25,영월발전소점,편의점,"강원도 영월군 영월읍 중앙로 236, (덕포리)",37.1714517278375,128.477737093452,,,,,,
GS25,원주청솔6차점,편의점,"강원도 원주시 단관초교길 9, (관설동, 원주단관청솔6차)",37.3175273098035,127.96551736153499,,,,,,
GS25,주문진대로점,편의점,"강원도 강릉시 주문진읍 연주로 593, (주문리)",37.9048007771377,128.822013834556,,,,,,
GS25,춘천남춘로점,편의점,"강원도 춘천시 남춘로51번길 43, (효자동)",37.867460773402705,127.728612950367,,,,,,
이디야,인제점,프렌차이즈,"강원도 인제군 인제읍 인제로 200-1, (상동리)",38.0691320377556,128.172673756114,,,,,,
버거킹,춘천거두GS점,프렌차이즈,"강원도 춘천시 동내면 춘천순환로 59, (거두리)",37.8559305200607,127.75030389007799,,,,,,
GS25,원주하이츠점,편의점,"강원도 원주시 단관공원길 88, (단구동)",37.3162809184718,127.956830469377,,,,,,
GS25,강현해맞이점,편의점,"강원도 양양군 강현면 동해대로 3507, (정암리)",38.149801570036104,128.608080264174,,,,,,
GS25,춘천호반점,편의점,"강원도 춘천시 동내면 거두택지길 80, (거두리, 호반베르디움에코)",37.8549512301269,127.760341589165,,,,,,
GS25,춘천포스코점,편의점,"강원도 춘천시 춘천로296번길 15-1, (후평동)",37.8801427986639,127.746834556389,,,,,,
GS25,인제현리점,편의점,"강원도 인제군 기린면 내린천로 3901, (현리)",37.945992577131705,128.315326866397,,,,,,
GS25,홍천화계점,편의점,"강원도 홍천군 북방면 영서로 2694, (상화계리)",37.7050973282856,127.852959780844,,,,,,
GS25,원주금대리점,편의점,"강원도 원주시 판부면 치악로 1025, (금대리)",37.284668472029,127.99699713417101,,,,,,
GS25,관대빌리지점,편의점,"강원도 강릉시 관솔길 10, (회산동)",37.740488078069895,128.86897065496,,,,,,
GS25,태백장성점,편의점,"강원도 태백시 장성1길 53, (장성동)",37.1011393249919,129.006941763492,,,,,,
GS25,강릉교동부영점,편의점,"강원도 강릉시 가작로 71, (교동, 부영2차)",37.768966172427795,128.883945945567,,,,,,
GS25,낙산해송점,편의점,"강원도 양양군 양양읍 해맞이길 95-21, (조산리)",38.113296147583796,128.63657196553302,,,,,,
나들가게,베스트할인마트,편의점,"강원도 춘천시 벌말길 106-1, (석사동)",37.86215278877071,127.740190703895,,,,,,
GS25,속초장사점,편의점,"강원도 속초시 중앙로 421, (장사동)",38.2250402289685,128.587119991264,,,,,,
GS25,원주청솔6차점,편의점,"강원도 원주시 단관초교길 7, (관설동)",37.317914773515604,127.96546077123301,,,,,,
GS25,속초명지점,편의점,"강원도 속초시 미시령로3337번길 20, (교동, 명지미래힐아파트)",38.2068200385892,128.571216285265,,,,,,
GS25,원주만대로점,편의점,"강원도 원주시 만대공원길 24, (무실동)",37.3379023314535,127.92745283818199,,,,,,
GS25,화천만능점,편의점,"강원도 화천군 상서면 신월동로 8, (봉오리)",38.1918103215594,127.598571657999,,,,,,
GS25,정동진점,편의점,"강원도 강릉시 강동면 헌화로 975, (정동진리)",37.6855677845377,129.039642379969,,,,,,
스타벅스,춘천석사DT점,프렌차이즈,"강원도 춘천시 후석로 13, (석사동)",37.8566635924656,127.73932355908998,,,,,,
GS25,후평본점,편의점,"강원도 춘천시 후만로98번길 12, (후평동)",37.875512255149495,127.755716772103,,,,,,
GS25,원주중앙로점,편의점,"강원도 원주시 중앙로 112, (중앙동)",37.3498900445203,127.950591852438,,,,,,
GS25,원주혁신6호점,편의점,"강원도 원주시 황금로 13, (반곡동)",37.3275341521922,127.988385660489,,,,,,
GS25,춘천삼성점,편의점,"강원도 춘천시 충열로16번길 21-20, (우두동)",37.8985852120607,127.729897309534,,,,,,
GS25,영월역점,편의점,"강원도 영월군 영월읍 영월로 2103, (덕포리)",37.1826069742251,128.480149916406,,,,,,
이디야,거두점,프렌차이즈,"강원도 춘천시 동내면 춘천순환로 134, (거두리)",37.8565157902657,127.758756897192,,,,,,
GS25,장학춘천로점,편의점,"강원도 춘천시 동면 춘천로449번길 20, (장학리)",37.8946280902476,127.753811666933,,,,,,
GS25,동해동회점,편의점,"강원도 동해시 효자남길 34, (동회동)",37.4892631809036,129.108539535635,,,,,,
이디야,원주터미널점,프렌차이즈,"강원도 원주시 서원대로 168, (단계동)",37.343941375563105,127.930088082608,,,,,,
맥도날드,춘천후평DT점,프렌차이즈,"강원도 춘천시 후석로 334, (후평동)",37.8807704110431,127.74959481915701,,,,,,
GS25,원주학성점,편의점,"강원도 원주시 남산로 142, (일산동)",37.3492541757866,127.939620966134,,,,,,
스타벅스,강원대점,프렌차이즈,"강원도 춘천시 서부대성로 243-1, (효자동)",37.8727596024213,127.745086615044,,,,,,
GS25,원주무실으뜸점,편의점,"강원도 원주시 시청로 96, (무실동)",37.3361547903505,127.92847020366699,,,,,,
나들가게,으뜸상회,편의점,"강원도 양양군 강현면 물치1길 28, (물치리)",38.154472322349,128.607365972709,,,,,,
GS25,양양중앙점,편의점,"강원도 양양군 양양읍 양양로 19, (남문리)",38.07772703946561,128.626187489652,,,,,,
GS25,춘천그랜드,편의점,"강원도 춘천시 우석로101번길 20, (석사동, 그랜드아파트)",37.8671620260372,127.75683546201701,,,,,,
GS25,원주고점,편의점,"강원도 원주시 개운로 20, (개운동)",37.3388255951646,127.95358983467699,,,,,,
GS25,철원동송,편의점,"강원도 철원군 동송읍 이평2로10번길 40, (이평리)",38.2037920074795,127.221716094094,,,,,,
GS25,한라대,편의점,"강원도 원주시 흥업면 한라대길 12-2, (흥업리)",37.3045401944426,127.910202924821,,,,,,
GS25,원주비발디2호,편의점,"강원도 원주시 봉화로 231, (우산동, 한라비발디2차)",37.3643874136218,127.929798168541,,,,,,
GS25,덕우삼거리,편의점,"강원도 정선군 정선읍 칠현로 1309, (덕우리)",37.3558638145008,128.718596395507,,,,,,
GS25,원주혁신7호,편의점,"강원도 원주시 배울로 50, (반곡동, 푸른숨엘에이치3단지)",37.320801061352,127.97653944827,,,,,,
GS25,수산항,편의점,"강원도 양양군 손양면 수산1길 20-16, (수산리)",38.077108659138,128.674441855598,,,,,,
GS25,원주혁신1호,편의점,"강원도 원주시 배울로 25, (반곡동)",37.3200978693037,127.97497133143999,,,,,,
GS25,강릉교동현대점,편의점,"강원도 강릉시 교동광장로 138-15, (교동, 교동현대2차)",37.7628241994259,128.87993454750298,,,,,,
GS25,삼척센트럴점,편의점,"강원도 삼척시 대학로 49-9, (당저동)",37.445480997200605,129.162941373068,,,,,,
GS25,삼척남화산,편의점,"강원도 삼척시 원덕읍 삼척로 1224, (임원리)",37.2338273038789,129.34290003239,,,,,,
GS25,춘천산수빌점,편의점,"강원도 춘천시 동내면 향군길 23, (신촌리)",37.8478233954723,127.764478025213,,,,,,
GS25,낙산터미널점,편의점,"강원도 양양군 강현면 동해대로 3087, (주청리)",38.1176290593079,128.628352772472,,,,,,
이디야,속초해수욕장점,프렌차이즈,"강원도 속초시 해오름로 137, (조양동)",38.1867484083806,128.604996953427,,,,,,
GS25,강릉금학점,편의점,"강원도 강릉시 금성로 58, (금학동)",37.752061091830605,128.894945182937,,,,,,
이디야,원주태장점,프렌차이즈,"강원도 원주시 흥양로51번길 11, (태장동)",37.3848450069217,127.95289521969299,,,,,,
GS25,진부IC점,편의점,"강원도 평창군 진부면 진부중앙로 192, (상진부리)",37.647242006637995,128.564671253531,,,,,,
탐앤탐스,평창애휴게소강릉방면,프렌차이즈,"강원도 평창군 용평면 경강로 2159-58, (이목정리)",37.6054554274288,128.452841105751,,,,,,
GS25,속초중앙점,편의점,"강원도 속초시 중앙로 161-1, (중앙동)",38.2051498765399,128.591904237204,,,,,,
GS25,강릉터미널점,편의점,"강원도 강릉시 하슬라로 20, (홍제동)",37.7552135226031,128.87953799381,,,,,,
이디야,홍천제일점,프렌차이즈,"강원도 홍천군 홍천읍 공작산로 45, (갈마곡리)",37.6918450800355,127.89777525973999,,,,,,
