브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
나들가게,삼일슈퍼,편의점,충청북도 충주시 금릉로 17,36.98621676,127.9175207,충북,,,,,,
나들가게,계명슈퍼,편의점,충청북도 충주시 상방1길 9,36.97382972,127.9106266,충북,,,,,,
이마트 24,청주복대현대점,편의점,"충청북도 청주시 흥덕구 내수동로 15, (복대동)",36.63354281,127.4492705,충북,,,,,,
이디야,광혜원점,프렌차이즈,충청북도 진천군 광혜원면 중리1길 32-3,36.98845258,127.4428469,충북,,,,,,
이디야,청주사천점,프렌차이즈,충청북도 청주시 청원구 율봉로 22,36.66264448,127.4735609,충북,,,,,,
이마트 24,음성금왕점,편의점,충청북도 음성군 금왕읍 탑골길 43,36.98973467,127.5867663,충북,,,,,,
나들가게,청전마트,편의점,충청북도 제천시 의림대로32길 38,37.14890088,128.2184488,충북,,,,,,
GS25,주성원룸점,편의점,충청북도 청주시 청원구 오창읍 주성2길 13-1,36.73668762,127.4556446,충북,,,,,,
이마트 24,진천점,편의점,충청북도 괴산군 괴산읍 남산길 32,36.80596369,127.7979554,충북,,,,,,
나들가게,아이스크림세상,편의점,충청북도 제천시 칠성로 5,37.14761347,128.2077394,충북,,,,,,
나들가게,명성슈퍼,편의점,충청북도 제천시 내토로 422,37.13046161,128.2043498,충북,,,,,,
GS25,충주건대원룸점,편의점,충청북도 충주시 모시래길 50,36.95411207,127.9105823,충북,,,,,,
이마트 24,제천화산점,편의점,충청북도 제천시 내토로 569,37.12836339,128.2186936,충북,,,,,,
이디야,진천혁신점,프렌차이즈,충청북도 진천군 덕산면 공원로 4,36.90336803,127.5335388,충북,,,,,,
이마트 24,충주연수점,편의점,충청북도 충주시 예성로 318,36.98462288,127.9338107,충북,,,,,,
나들가게,두진하이퍼마켓,편의점,충청북도 제천시 칠성로 19,37.14605176,128.2092998,충북,,,,,,
GS25,음성지평더웰점,편의점,충청북도 음성군 음성읍 설성공원길 33-9,36.93295942,127.6897199,충북,,,,,,
GS25,보은대동점,편의점,충청북도 보은군 보은읍 뱃들로 36-1,36.48795751,127.72463,충북,,,,,,
이마트 24,청주태성산단점,편의점,"충청북도 청주시 흥덕구 강내면 서부로 203, (태성리)",36.58649531,127.3418097,충북,,,,,,
스타벅스,충주터미널점,프렌차이즈,충청북도 충주시 봉계13길 2,36.98069997,127.9151903,충북,,,,,,
이디야,충북보은점,프렌차이즈,충청북도 보은군 보은읍 삼산로 20,36.48435909,127.7196986,충북,,,,,,
이디야,청주가경점,프렌차이즈,충청북도 청주시 흥덕구 강서로 108,36.62439715,127.4285619,충북,,,,,,
이마트 24,제천하소점,편의점,충청북도 제천시 용두대로21길 15,37.14305125,128.1986541,충북,,,,,,
이마트 24,충북대국제교육원점,편의점,"충청북도 청주시 서원구 충대로 1, (개신동)",36.63017977,127.454818,충북,,,,,,
GS25,충주부영점,편의점,충청북도 충주시 칠금중앙로 30,36.98030491,127.9172463,충북,,,,,,
GS25,충주호수마을점,편의점,충청북도 충주시 사직로 116-1,36.9673336,127.9256048,충북,,,,,,
이마트 24,충주교통대점,편의점,충청북도 충주시 대소원면 대학로 4,36.96314155,127.8710867,충북,,,,,,
GS25,봉명주민점,편의점,충청북도 청주시 흥덕구 1순환로594번길 10,36.64082858,127.4599878,충북,,,,,,
GS25,제천두학점,편의점,충청북도 제천시 의병대로 412,37.1335471,128.245237,충북,,,,,,
이디야,충북오송점,프렌차이즈,"충청북도 청주시 흥덕구 오송읍 오송생명5로 183-3, (만수리)",36.63034653,127.3302108,충북,,,,,,
이마트 24,충북영동센트럴점,편의점,충청북도 영동군 영동읍 영동천2길 7,36.17343229,127.7755023,충북,,,,,,
이마트 24,청주율량중앙점,편의점,충청북도 청주시 청원구 율중로 27,36.65991056,127.5064769,충북,,,,,,
이마트 24,청주초정점,편의점,충청북도 청주시 청원구 내수읍 우산길 91,36.72335,127.5932691,충북,,,,,,
이마트 24,충대평생교육원점,편의점,"충청북도 청주시 서원구 남들로 1, (수곡동)",36.61855191,127.4826146,충북,,,,,,
스타벅스,제천DT점,프렌차이즈,충청북도 제천시 의림대로 181,37.1438106,128.2128508,충북,,,,,,
나들가게,청솔마트,편의점,충청북도 제천시 청전대로 209-2,37.15212263,128.2207884,충북,,,,,,
GS25,신정주공점,편의점,충청북도 진천군 진천읍 원덕로 283-6,36.8516991,127.4483039,충북,,,,,,
GS25,청주신화점,편의점,충청북도 청주시 청원구 1순환로 213,36.66437793,127.4887626,충북,,,,,,
이마트 24,오창공단점,편의점,충청북도 청주시 청원구 오창읍 양청송대길 31,36.7143916,127.4400077,충북,,,,,,
이마트 24,청주청원구청점,편의점,충청북도 청주시 청원구 우암로54번길 36,36.65214727,127.4863717,충북,,,,,,
이마트 24,옥천이원점,편의점,충청북도 옥천군 이원면 묘목로 110,36.24757938,127.6211953,충북,,,,,,
이디야,청주용암중앙점,프렌차이즈,"충청북도 청주시 상당구 낙영로24번길 17, (용암동)",36.61725957,127.5094655,충북,,,,,,
GS25,충주연수행운점,편의점,충청북도 충주시 동수1길 21,36.98666126,127.9369992,충북,,,,,,
GS25,동충주아이씨점,편의점,충청북도 충주시 산척면 용암길 2,37.0663023,127.9305574,충북,,,,,,
이마트 24,진천점,편의점,충청북도 진천군 진천읍 남산길 32-4,36.85354572,127.4385121,충북,,,,,,
GS25,비하리슈빌,편의점,충청북도 청주시 흥덕구 가로수로1131번길 101,36.63036239,127.4209369,충북,,,,,,
GS25,청주나보나점,편의점,"충청북도 청주시 상당구 상당로 66, (문화동)",36.63428736,127.4910525,충북,,,,,,
스타벅스,청주용담DT점,프렌차이즈,"충청북도 청주시 상당구 산성로 129, (용담동)",36.634193,127.5050195,충북,,,,,,
