브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,학익으뜸점,편의점,"인천광역시 미추홀구 재넘이길9번길 66, (학익동)",37.44456833,126.6646143,인천,,,,,,
GS25,간석주공점,편의점,"인천광역시 남동구 백범로294번길 19, (간석동)",37.46355503,126.7176642,인천,,,,,,
이디야,을왕리점,프렌차이즈,"인천광역시 중구 을왕로 10, (을왕동)",37.44595249,126.3744966,인천,,,,,,
이마트24,24검암2단지점,편의점,"인천광역시 서구 승학로 536, (검암동)",37.56587389,126.6790908,인천,,,,,,
이마트24,24남동공단점,편의점,"인천광역시 남동구 앵고개로 448, (고잔동)",37.39795809,126.6896107,인천,,,,,,
이마트24,24편의점,편의점,"인천광역시 미추홀구 인주대로292번길 14, (주안동)",37.45145271,126.668651,인천,,,,,,
이디야,산곡한화점,프렌차이즈,"인천광역시 부평구 마장로 320, (산곡동)",37.50657988,126.7036843,인천,,,,,,
GS25,상동세종점,편의점,"인천광역시 부평구 주부토로 53, (부평동)",37.49972952,126.7249736,인천,,,,,,
이디야,영종하늘도시점,프렌차이즈,"인천광역시 중구 하늘달빛로 70, (중산동)",37.48576318,126.5595292,인천,,,,,,
GS25,서구드림점,편의점,"인천광역시 서구 심곡로 193-3, (연희동)",37.55009058,126.6817347,인천,,,,,,
이디야,인하공전점,프렌차이즈,"인천광역시 미추홀구 소성로 81, (학익동)",37.44546263,126.6584507,인천,,,,,,
GS25,불로타운점,편의점,"인천광역시 서구 검단로 788, (불로동, 퀸스타운동성아파트)",37.61640495,126.6881763,인천,,,,,,
이마트24,24부평동암성진점,편의점,"인천광역시 부평구 백범로468번길 7-1, (십정동, 성진아트빌)",37.46900606,126.6995064,인천,,,,,,
GS25,송림본점,편의점,"인천광역시 동구 샛골로 124, (송림동)",37.47346762,126.6443275,인천,,,,,,
스타벅스,인천터미널사거리점,프렌차이즈,"인천광역시 남동구 예술로 126, (구월동)",37.44528764,126.7008551,인천,,,,,,
버거킹,송도현대아울렛점,프렌차이즈,"인천광역시 연수구 송도국제대로 123, (송도동)",37.381618,126.6579066,인천,,,,,,
GS25,뉴서구공단점,편의점,"인천광역시 서구 보도진로 26, (가좌동)",37.49431014,126.6507811,인천,,,,,,
GS25,모통공원점,편의점,"인천광역시 서구 심곡로113번길 28, (심곡동)",37.54273348,126.6788882,인천,,,,,,
GS25,항만제일점,편의점,"인천광역시 중구 내항로 200, (항동7가)",37.4635553,126.6247477,인천,,,,,,
이마트24,24부개주공1단지점,편의점,"인천광역시 부평구 충선로 176-5, (부개동)",37.50509977,126.7367239,인천,,,,,,
스타벅스,동암역점,프렌차이즈,"인천광역시 부평구 동암광장로 14, (십정동)",37.47155978,126.702311,인천,,,,,,
GS25,논현9단지점,편의점,"인천광역시 남동구 에코중앙로 96, (논현동, 에코메트로9단지한화꿈에그린아파트)",37.38732293,126.7222838,인천,,,,,,
GS25,청라핑크점,편의점,"인천광역시 서구 보석로 10, (청라동)",37.52067707,126.625261,인천,,,,,,
이마트24,24부평부개본점,편의점,"인천광역시 부평구 부개로 58, (부개동, 푸른마을삼부)",37.50078492,126.7402007,인천,,,,,,
이디야,인천영흥도점,프렌차이즈,"인천광역시 옹진군 영흥면 영흥로 252, (내리)",37.25888451,126.4845796,인천,,,,,,
GS25,가좌베스트점,편의점,"인천광역시 서구 가정로 107-1, (가좌동)",37.49434494,126.671339,인천,,,,,,
GS25,주안정문점,편의점,인천광역시 연수구 송도국제대로 66,37.388343,126.6621682,인천,,,,,,
GS25,송도라마다점,편의점,"인천광역시 연수구 능허대로267번길 29, (동춘동)",37.41424643,126.6556866,인천,,,,,,
GS25,도화스마트점,편의점,"인천광역시 미추홀구 석정로 228, (도화동)",37.46796132,126.6608296,인천,,,,,,
이마트24,24부평동암남부점,편의점,"인천광역시 부평구 동암남로 30, (십정동)",37.47042922,126.7068525,인천,,,,,,
GS25,가정프라자점,편의점,"인천광역시 서구 봉오재3로 40, (가정동)",37.52968207,126.6656552,인천,,,,,,
나들가게,함박할인마트점,편의점,"인천광역시 연수구 함박로83번길 3, (연수동)",37.42505219,126.686348,인천,,,,,,
GS25,검단원흥점,편의점,"인천광역시 서구 검단로 421, (왕길동)",37.59981113,126.6516524,인천,,,,,,
GS25,부평피코그램점,편의점,"인천광역시 부평구 부평북로 118, (청천동)",37.52205192,126.7062787,인천,,,,,,
스타벅스,인천터미널사거리점,프렌차이즈,"인천광역시 남동구 예술로 126, (구월동)",37.44510759,126.7008695,인천,,,,,,
탐앤탐스,인천로얄호텔점,프렌차이즈,"인천광역시 남동구 백범로 367, (간석동)",37.46538417,126.7102175,인천,,,,,,
이마트24,24구월신세계점,편의점,"인천광역시 남동구 호구포로 868, (구월동)",37.45969023,126.7202169,인천,,,,,,
GS25,원당타운점,편의점,"인천광역시 서구 원당대로839번길 34, (원당동, 원당LG자이)",37.5948958,126.6985754,인천,,,,,,
GS25,운서플라이점,편의점,"인천광역시 중구 흰바위로59번길 8, (운서동)",37.49225953,126.4923828,인천,,,,,,
이마트24,24인천검암점,편의점,"인천광역시 서구 승학로 452, (검암동)",37.56204482,126.6734878,인천,,,,,,
이디야,인천신현점,프렌차이즈,"인천광역시 서구 가정로 350, (가정동)",37.51600701,126.6730703,인천,,,,,,
GS25,인천광장점,편의점,"인천광역시 남동구 정각로 14, (구월동)",37.45477589,126.703347,인천,,,,,,
GS25,구월아시아드점,편의점,"인천광역시 남동구 선수촌로 27, (구월동, 구월아시아드선수촌6단지)",37.44140909,126.7128328,인천,,,,,,
GS25,일신초교점,편의점,"인천광역시 부평구 항동로75번길 41, (일신동)",37.48387272,126.7419094,인천,,,,,,
이마트24,주안공단점,편의점,"인천광역시 미추홀구 주염로 51, (주안동)",37.46998702,126.6831315,인천,,,,,,
이마트24,인천만수향촌점,편의점,"인천광역시 남동구 만수서로83번길 20, (만수동)",37.46257615,126.7346816,인천,,,,,,
이마트24,인천문화공원점,편의점,"인천광역시 연수구 새말로 97, (연수동)",37.41855896,126.6801691,인천,,,,,,
이마트24,부평하이네스점,편의점,"인천광역시 부평구 부평대로104번길 14, 2동  (부평동, 하이네스빌)",37.50057175,126.722867,인천,,,,,,
이마트24,용현낙섬서로점,편의점,"인천광역시 미추홀구 낙섬서로18번길 27-4, (용현동)",37.45053731,126.6357906,인천,,,,,,
GS25,부개1동점,편의점,"인천광역시 부평구 동수로 162, (부개동)",37.48533825,126.7365479,인천,,,,,,
이마트24,주안미추홀점,편의점,"인천광역시 미추홀구 미추홀대로 719, (주안동)",37.46165218,126.6798754,인천,,,,,,
이마트24,을왕해수욕장점,편의점,"인천광역시 중구 을왕로 24-2, (을왕동)",37.44663051,126.3733518,인천,,,,,,
